"Enhancer","Pvalue","Coeff","Exp_Pvalue","Trials","bh"
"mm10_chr1.3120263.3120763",0.999612195859782,0.000182458961688265,0.791,1000,0.877310306260074
"mm10_chr1.3134527.3135027",0.762592402974366,0.147890038302134,0.415,1000,0.66156655002879
"mm10_chr1.3292619.3293119",0.718480364553497,-0.134762292120395,0.31,1000,0.66156655002879
"mm10_chr1.3309949.3310449",0.999759972166703,0.000123968443791528,0.799,1000,0.882409643289987
"mm10_chr1.3321428.3321928",0.792808611461383,-0.121709587747325,0.446,1000,0.66191101936844
"mm10_chr1.3322392.3322892",0.999190949904153,-0.000480531842889202,0.507,1000,0.679466253279275
"mm10_chr1.3368280.3368780",0.9997142628277,-0.000194288932855624,0.707,1000,0.814780284386109
"mm10_chr1.3369545.3370045",0.719761069692781,-0.175803202655388,0.201,1000,0.66156655002879
"mm10_chr1.3388125.3388625",0.842991000118598,0.0903071168098293,0.46,1000,0.663218302330554
"mm10_chr1.3395350.3395850",0.817865837590769,-0.0933576492615616,0.273,1000,0.66156655002879
"mm10_chr1.3406056.3406556",0.836350691828022,0.0928761962475182,0.347,1000,0.66156655002879
"mm10_chr1.3407327.3407827",0.748096419027747,-0.176404136140821,0.397,1000,0.66156655002879
"mm10_chr1.3435350.3435850",0.752634102424,-0.176013981837375,0.408,1000,0.66156655002879
"mm10_chr1.3498129.3498629",0.536472057732046,-0.386637178308571,0.0302,10000,0.66156655002879
"mm10_chr1.3514432.3514932",0.808643954041306,-0.0982573288034343,0.479,1000,0.668044012409514
"mm10_chr1.3632669.3633169",0.999444909130979,0.000218080143535004,0.66,1000,0.779751909734389
"mm10_chr1.3643321.3643821",0.806194762299879,-0.124570640478834,0.43,1000,0.66156655002879
"mm10_chr1.3742070.3742570",0.758853871514788,-0.235683317237203,0.295,1000,0.66156655002879
"mm10_chr1.4332380.4332880",0.999037723731346,0.000787765694664025,0.473,1000,0.666780040053405
"mm10_chr1.4571386.4571886",0.861406095834061,0.0554503661121823,0.287,1000,0.66156655002879
"mm10_chr1.4970468.4970968",0.812795709295836,0.0925664724139173,0.283,1000,0.66156655002879
"mm10_chr1.5894343.5894843",0.71514901813724,0.164961086934066,0.291,1000,0.66156655002879
"mm10_chr1.6972973.6973473",0.823882866969291,-0.135117353248494,0.405,1000,0.66156655002879
"mm10_chr1.7218846.7219346",0.999459381031754,0.000462284355781242,0.633,1000,0.760592587312901
"mm10_chr1.7543448.7543948",0.803262119690594,0.136599027671333,0.384,1000,0.66156655002879
"mm10_chr1.7891490.7891990",0.546716086216156,-0.281659854530855,0.152,1000,0.66156655002879
